figure_panel,tissue_dataset,regulator,heme_gene,spearman_R,p_value,data_source
Figure_4B,ESCA_Normal,BRD2,PPOX,0.64,0.021,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,ESCA_Normal,BRD2,UROD,0.87,0.00012,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,ESCA_Normal,BRD2,UROS,0.97,0,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,ESCA_Normal,BRD4,ALAD,0.21,0.48,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,ESCA_Normal,BRD4,ALAS1,0.72,0.0075,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,ESCA_Normal,BRD4,CPOX,0.69,0.011,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,ESCA_Normal,BRD4,FECH,0.82,0.0011,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,ESCA_Normal,BRD4,HMBS,0.7,0.0096,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,ESCA_Normal,BRD4,PPOX,0.6,0.032,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,ESCA_Normal,BRD4,UROD,0.92,0,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,ESCA_Normal,BRD4,UROS,0.96,0,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,ESCA_Normal,H2AFZ,ALAD,-0.21,0.48,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,ESCA_Normal,H2AFZ,ALAS1,0.79,0.0021,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,ESCA_Normal,H2AFZ,CPOX,0.84,0.00054,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,ESCA_Normal,H2AFZ,FECH,0.69,0.011,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,ESCA_Normal,H2AFZ,HMBS,0.87,0.00012,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,ESCA_Normal,H2AFZ,PPOX,0.45,0.12,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,ESCA_Normal,H2AFZ,UROD,0.77,0.0033,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,ESCA_Normal,H2AFZ,UROS,0.86,0.00026,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,HNSC_Normal,ATAD2,ALAD,0.29,0.057,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,HNSC_Normal,ATAD2,ALAS1,0.24,0.12,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,HNSC_Normal,ATAD2,CPOX,0.82,0,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,HNSC_Normal,ATAD2,FECH,0.23,0.13,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,HNSC_Normal,ATAD2,HMBS,0.2,0.2,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,HNSC_Normal,ATAD2,PPOX,0.026,0.87,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,HNSC_Normal,ATAD2,UROD,-0.44,0.003,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,HNSC_Normal,ATAD2,UROS,-0.41,0.0056,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,HNSC_Normal,BRD2,ALAD,0.36,0.017,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,HNSC_Normal,BRD2,ALAS1,0.35,0.022,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,HNSC_Normal,BRD2,CPOX,0.56,8.7e-05,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,HNSC_Normal,BRD2,FECH,0.12,0.43,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,HNSC_Normal,BRD2,HMBS,0.16,0.29,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,HNSC_Normal,BRD2,PPOX,0.23,0.14,GEPIA2 GTEx normal tissue RNA-seq
